,acc
705,0.9
706,0.9
707,0.95
708,0.95
709,1.0
710,0.95
711,1.0
712,0.9
713,0.95
714,0.95
715,0.95
716,1.0
717,1.0
718,0.9
719,0.9
720,0.95
721,0.9
722,0.85
723,0.95
724,0.85
725,1.0
726,0.9
727,0.9
728,0.95
729,0.9
730,0.85
731,1.0
732,0.9
733,0.95
734,1.0
735,0.9
736,0.95
737,0.95
738,0.85
739,0.95
740,1.0
741,0.95
742,0.9
743,1.0
744,0.95
745,0.95
746,1.0
747,0.95
748,0.9
749,0.95
750,1.0
751,1.0
752,1.0
753,0.95
754,0.95
755,0.95
756,0.95
757,0.95
758,0.9
759,0.95
760,1.0
761,0.95
762,1.0
763,1.0
764,0.95
765,0.95
766,0.95
767,0.95
768,0.95
769,0.75
770,0.95
771,0.95
772,0.85
773,1.0
774,0.95
775,0.85
776,0.95
777,1.0
778,0.95
779,0.9
780,1.0
781,1.0
782,0.85
783,0.9
784,0.9
785,1.0
786,0.95
787,1.0
788,1.0
789,0.95
790,0.95
791,1.0
792,0.9
793,0.9
794,0.95
795,1.0
796,0.9
797,0.9
798,1.0
799,1.0
800,0.9
801,1.0
802,1.0
803,0.95
804,0.95
805,0.9
806,0.95
807,0.95
808,0.95
809,1.0
810,1.0
811,0.95
812,0.95
813,0.95
814,1.0
815,0.95
816,0.95
817,0.9
818,0.95
819,1.0
820,0.95
821,0.95
822,0.95
823,1.0
824,1.0
825,1.0
826,1.0
827,0.95
828,0.95
829,0.95
830,0.85
831,1.0
832,0.95
833,0.95
834,0.85
835,0.95
836,0.95
837,0.9
838,1.0
839,0.95
840,1.0
841,0.95
842,1.0
843,0.9
844,0.9
845,1.0
846,1.0
847,0.85
848,1.0
849,0.9
850,0.9
851,0.85
852,1.0
853,1.0
854,0.95
855,0.9
856,0.9
857,0.95
858,0.85
859,0.95
860,0.9
861,0.95
862,1.0
863,0.95
864,1.0
865,0.95
866,0.95
867,1.0
868,1.0
869,0.95
870,0.95
871,0.95
872,0.95
873,1.0
874,1.0
875,0.9
876,0.95
877,1.0
878,0.9
879,0.95
880,0.9
881,1.0
882,0.85
883,0.95
884,1.0
885,1.0
886,0.95
887,1.0
888,0.95
889,0.95
890,1.0
891,0.95
892,0.9
893,0.85
894,0.95
895,0.9
896,0.95
897,1.0
898,0.95
899,0.9
900,0.9
901,1.0
902,0.95
903,0.95
904,0.9
905,0.95
906,0.95
907,0.85
908,0.9
909,1.0
910,0.95
911,0.9
912,0.95
913,1.0
914,0.95
915,0.9
916,1.0
917,0.95
918,0.85
919,0.95
920,0.95
921,0.95
922,1.0
923,0.95
924,1.0
925,0.95
926,0.95
927,1.0
928,0.9
929,1.0
930,0.85
931,0.95
932,0.9
933,0.95
934,0.95
935,0.95
936,1.0
937,1.0
938,1.0
939,1.0
940,0.9
941,0.95
942,0.9
943,0.95
944,1.0
945,1.0
946,0.9
947,0.8
948,0.9
949,0.95
950,0.9
951,1.0
952,0.9
953,0.9
954,1.0
955,0.85
956,0.95
957,0.95
958,0.95
959,0.9
960,0.95
961,1.0
962,0.95
963,0.9
964,0.95
965,0.9
966,1.0
967,0.95
968,0.9
969,1.0
970,1.0
971,1.0
972,1.0
973,0.9
974,0.95
975,1.0
976,0.9
977,0.95
978,0.9
